"comment_code","name","category","kana","valid_from","valid_to","change_type","raw_record"
"1","","0","0","0","0","0","IjAiLCJDIiwiOCIsIjEwIiwiMSIsIjAiLCIiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiODEwMDAwMDAxIiwiMTc0NzAwMDAiLCIiLCIiLCIiLCIiLCIiLCIi"
"1","別途コメントあり","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMSIsIjgiLCLliKXpgJTjgrPjg6Hjg7Pjg4jjgYLjgooiLCIxMCIsIu++je++nu+9r+++hO+9uu++ku++ne++hO+9se++mCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAwMSIsIjE3NDgwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"2","自費から","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMiIsIjQiLCLoh6rosrvjgYvjgokiLCI1Iiwi7728776e776L7722776XIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiODIwMDAwMDAyIiwiMTc0OTAwMDAiLCIiLCIiLCIiLCIiLCIiLCIi"
"3","集団検診から","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMyIsIjYiLCLpm4blm6PmpJzoqLrjgYvjgokiLCIxMiIsIu+9vO+9re+9s+++gO++nu++ne+9ue++ne+9vO++ne+9tu++lyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAwMyIsIjE3NTAwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"4","後期高齢者検診から","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNCIsIjkiLCLlvozmnJ/pq5jpvaLogIXmpJzoqLrjgYvjgokiLCIxNSIsIu+9uu+9s++9t++9uu+9s+++mu+9su+9vO+9rO+9ue++ne+9vO++ne+9tu++lyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAwNCIsIjE3NTEwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"5","学校検診から","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNSIsIjYiLCLlrabmoKHmpJzoqLrjgYvjgokiLCIxMSIsIu+9tu++nu+9r++9uu+9s++9ue++ne+9vO++ne+9tu++lyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAwNSIsIjE3NTIwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"6","健康診断から","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiNiIsIjYiLCLlgaXlurfoqLrmlq3jgYvjgokiLCIxMSIsIu+9ue++ne+9uu+9s++9vO++ne++gO++nu++ne+9tu++lyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAwNiIsIjE3NTMwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"9","分院にて請求済み","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiOSIsIjgiLCLliIbpmaLjgavjgaboq4vmsYLmuIjjgb8iLCIxNSIsIu++jO++nu++ne+9su++ne++hu++g++9vu+9su+9t++9re+9s++9ve++nu++kCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAwOSIsIjE3NTQwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"10","本院にて請求済み","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTAiLCI4Iiwi5pys6Zmi44Gr44Gm6KuL5rGC5riI44G/IiwiMTQiLCLvvo7vvp3vvbLvvp3vvobvvoPvvb7vvbLvvbfvva3vvbPvvb3vvp7vvpAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAwMTAiLCIxNzU1MDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"11","他科にて請求済み","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTEiLCI4Iiwi5LuW56eR44Gr44Gm6KuL5rGC5riI44G/IiwiMTIiLCLvvoDvvbbvvobvvoPvvb7vvbLvvbfvva3vvbPvvb3vvp7vvpAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAwMTEiLCIxNzU2MDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"12","労災入院中","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTIiLCI1Iiwi5Yq054G95YWl6Zmi5LitIiwiMTIiLCLvvpvvvbPvvbvvvbLvvobvva3vvbPvvbLvvp3vvoHvva3vvbMiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAwMTIiLCIxNzU3MDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"13","自費入院中","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTMiLCI1Iiwi6Ieq6LK75YWl6Zmi5LitIiwiMTEiLCLvvbzvvp7vvovvvobvva3vvbPvvbLvvp3vvoHvva3vvbMiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAwMTMiLCIxNzU4MDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"14","生活保護受給者","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTQiLCI3Iiwi55Sf5rS75L+d6K235Y+X57Wm6ICFIiwiMTUiLCLvvb7vvbLvvbbvvoLvvo7vvbrvvp7vvbzvvp7vva3vvbfvva3vvbPvvbzvvawiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjIwMjQwNjAxIiwiOTk5OTk5OTkiLCI4MjAwMDAwMTQiLCIxNzU5MDAwMCIsIiIsIiIsIiIsIiIsIiIsIiI="
"15","免税者","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTUiLCIzIiwi5YWN56iO6ICFIiwiNyIsIu++ku++ne+9vu++nu+9su+9vO+9rCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAxNSIsIjE3NjAwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"16","外国人","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTYiLCIzIiwi5aSW5Zu95Lq6IiwiOCIsIu+9tu++nu+9su+9uu+9uO+9vO++nu++nSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAxNiIsIjE3NjEwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"17","国保未加入","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTciLCI1Iiwi5Zu95L+d5pyq5Yqg5YWlIiwiOCIsIu+9uu+9uO++ju++kO+9tu++hu+9re+9syIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAxNyIsIjE3NjIwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"18","自費","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTgiLCIyIiwi6Ieq6LK7IiwiMyIsIu+9vO++nu++iyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMjAyNDA2MDEiLCI5OTk5OTk5OSIsIjgyMDAwMDAxOCIsIjE3NjMwMDAwIiwiIiwiIiwiIiwiIiwiIiwiIg=="
"19","社会保険併用（本人）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMTkiLCIxMCIsIuekvuS8muS/nemZuuS9teeUqO+8iOacrOS6uu+8iSIsIjExIiwi7728772s7722772y776O7725776d776N772y776W772zIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiODIwMDAwMDE5IiwiMTc2NDAwMDAiLCIiLCIiLCIiLCIiLCIiLCIi"
"20","社会保険併用（家族）","0","0","0","0","0","IjAiLCJDIiwiOCIsIjIwIiwiMjAiLCIxMCIsIuekvuS8muS/nemZuuS9teeUqO+8iOWutuaXj++8iSIsIjExIiwi7728772s7722772y776O7725776d776N772y776W772zIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiODIwMDAwMDIwIiwiMTc2NTAwMDAiLCIiLCIiLCIiLCIiLCIiLCIi"
