"ward_code","ward_name","category","sub_category","valid_from","valid_to","change_type","raw_record"
"190610001","高度急性期機能病棟０１","","","20240601","99999999","0","IjAiLCJTIiwiMTkwNjEwMDAxIiwiMTEiLCLpq5jluqbmgKXmgKfmnJ/mqZ/og73nl4Xmo5/vvJDvvJEiLCIxNSIsIu+9uu+9s+++hO++nu+9t++9re+9s++9vu+9su+9t++9t+++ie+9szAxIiwiMCIsIjAiLCIiLCIzIiwiMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIjAiLCIwIiwiMyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCI5OTk5OTk5OSIsIjAiLCIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIxIiwiMSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIioiLCIiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiOTk5MTAwMDEwIiwiOSIsIjAyIiwiMDAxIiwiMDEiLCIwMDEiLCIwIiwiMDAiLCIwMDAiLCIwMCIsIjAwIiwiMDAiLCIwMCIsIjAiLCIwMCIsIjAwIiwiMCIsIjAwIiwiMDAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwi6auY5bqm5oCl5oCn5pyf5qmf6IO955eF5qOf77yQ77yRIiwiMCIsIjAiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAwMCIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiI="
"190610002","高度急性期機能病棟０２","","","20240601","99999999","0","IjAiLCJTIiwiMTkwNjEwMDAyIiwiMTEiLCLpq5jluqbmgKXmgKfmnJ/mqZ/og73nl4Xmo5/vvJDvvJIiLCIxNSIsIu+9uu+9s+++hO++nu+9t++9re+9s++9vu+9su+9t++9t+++ie+9szAyIiwiMCIsIjAiLCIiLCIzIiwiMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIjAiLCIwIiwiMyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCI5OTk5OTk5OSIsIjAiLCIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIxIiwiMSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIioiLCIiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiOTk5MTAwMDIwIiwiOSIsIjAyIiwiMDAxIiwiMDEiLCIwMDIiLCIwIiwiMDAiLCIwMDAiLCIwMCIsIjAwIiwiMDAiLCIwMCIsIjAiLCIwMCIsIjAwIiwiMCIsIjAwIiwiMDAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwi6auY5bqm5oCl5oCn5pyf5qmf6IO955eF5qOf77yQ77ySIiwiMCIsIjAiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAwMCIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiI="
"190610003","高度急性期機能病棟０３","","","20240601","99999999","0","IjAiLCJTIiwiMTkwNjEwMDAzIiwiMTEiLCLpq5jluqbmgKXmgKfmnJ/mqZ/og73nl4Xmo5/vvJDvvJMiLCIxNSIsIu+9uu+9s+++hO++nu+9t++9re+9s++9vu+9su+9t++9t+++ie+9szAzIiwiMCIsIjAiLCIiLCIzIiwiMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIjAiLCIwIiwiMyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCI5OTk5OTk5OSIsIjAiLCIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIxIiwiMSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIioiLCIiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiOTk5MTAwMDMwIiwiOSIsIjAyIiwiMDAxIiwiMDEiLCIwMDMiLCIwIiwiMDAiLCIwMDAiLCIwMCIsIjAwIiwiMDAiLCIwMCIsIjAiLCIwMCIsIjAwIiwiMCIsIjAwIiwiMDAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwi6auY5bqm5oCl5oCn5pyf5qmf6IO955eF5qOf77yQ77yTIiwiMCIsIjAiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAwMCIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiI="
"190610004","高度急性期機能病棟０４","","","20240601","99999999","0","IjAiLCJTIiwiMTkwNjEwMDA0IiwiMTEiLCLpq5jluqbmgKXmgKfmnJ/mqZ/og73nl4Xmo5/vvJDvvJQiLCIxNSIsIu+9uu+9s+++hO++nu+9t++9re+9s++9vu+9su+9t++9t+++ie+9szA0IiwiMCIsIjAiLCIiLCIzIiwiMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIjAiLCIwIiwiMyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCI5OTk5OTk5OSIsIjAiLCIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIxIiwiMSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIioiLCIiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiOTk5MTAwMDQwIiwiOSIsIjAyIiwiMDAxIiwiMDEiLCIwMDQiLCIwIiwiMDAiLCIwMDAiLCIwMCIsIjAwIiwiMDAiLCIwMCIsIjAiLCIwMCIsIjAwIiwiMCIsIjAwIiwiMDAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwi6auY5bqm5oCl5oCn5pyf5qmf6IO955eF5qOf77yQ77yUIiwiMCIsIjAiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAwMCIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiI="
"190610005","高度急性期機能病棟０５","","","20240601","99999999","0","IjAiLCJTIiwiMTkwNjEwMDA1IiwiMTEiLCLpq5jluqbmgKXmgKfmnJ/mqZ/og73nl4Xmo5/vvJDvvJUiLCIxNSIsIu+9uu+9s+++hO++nu+9t++9re+9s++9vu+9su+9t++9t+++ie+9szA1IiwiMCIsIjAiLCIiLCIzIiwiMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIjAiLCIwIiwiMyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCI5OTk5OTk5OSIsIjAiLCIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIxIiwiMSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIioiLCIiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiOTk5MTAwMDUwIiwiOSIsIjAyIiwiMDAxIiwiMDEiLCIwMDUiLCIwIiwiMDAiLCIwMDAiLCIwMCIsIjAwIiwiMDAiLCIwMCIsIjAiLCIwMCIsIjAwIiwiMCIsIjAwIiwiMDAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwi6auY5bqm5oCl5oCn5pyf5qmf6IO955eF5qOf77yQ77yVIiwiMCIsIjAiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAwMCIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiI="
"190610006","高度急性期機能病棟０６","","","20240601","99999999","0","IjAiLCJTIiwiMTkwNjEwMDA2IiwiMTEiLCLpq5jluqbmgKXmgKfmnJ/mqZ/og73nl4Xmo5/vvJDvvJYiLCIxNSIsIu+9uu+9s+++hO++nu+9t++9re+9s++9vu+9su+9t++9t+++ie+9szA2IiwiMCIsIjAiLCIiLCIzIiwiMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIjAiLCIwIiwiMyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCI5OTk5OTk5OSIsIjAiLCIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIxIiwiMSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIioiLCIiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiOTk5MTAwMDYwIiwiOSIsIjAyIiwiMDAxIiwiMDEiLCIwMDYiLCIwIiwiMDAiLCIwMDAiLCIwMCIsIjAwIiwiMDAiLCIwMCIsIjAiLCIwMCIsIjAwIiwiMCIsIjAwIiwiMDAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwi6auY5bqm5oCl5oCn5pyf5qmf6IO955eF5qOf77yQ77yWIiwiMCIsIjAiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAwMCIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiI="
"190610007","高度急性期機能病棟０７","","","20240601","99999999","0","IjAiLCJTIiwiMTkwNjEwMDA3IiwiMTEiLCLpq5jluqbmgKXmgKfmnJ/mqZ/og73nl4Xmo5/vvJDvvJciLCIxNSIsIu+9uu+9s+++hO++nu+9t++9re+9s++9vu+9su+9t++9t+++ie+9szA3IiwiMCIsIjAiLCIiLCIzIiwiMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIjAiLCIwIiwiMyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCI5OTk5OTk5OSIsIjAiLCIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIxIiwiMSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIioiLCIiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiOTk5MTAwMDcwIiwiOSIsIjAyIiwiMDAxIiwiMDEiLCIwMDciLCIwIiwiMDAiLCIwMDAiLCIwMCIsIjAwIiwiMDAiLCIwMCIsIjAiLCIwMCIsIjAwIiwiMCIsIjAwIiwiMDAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwi6auY5bqm5oCl5oCn5pyf5qmf6IO955eF5qOf77yQ77yXIiwiMCIsIjAiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAwMCIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiI="
"190610008","高度急性期機能病棟０８","","","20240601","99999999","0","IjAiLCJTIiwiMTkwNjEwMDA4IiwiMTEiLCLpq5jluqbmgKXmgKfmnJ/mqZ/og73nl4Xmo5/vvJDvvJgiLCIxNSIsIu+9uu+9s+++hO++nu+9t++9re+9s++9vu+9su+9t++9t+++ie+9szA4IiwiMCIsIjAiLCIiLCIzIiwiMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIjAiLCIwIiwiMyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCI5OTk5OTk5OSIsIjAiLCIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIxIiwiMSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIioiLCIiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiOTk5MTAwMDgwIiwiOSIsIjAyIiwiMDAxIiwiMDEiLCIwMDgiLCIwIiwiMDAiLCIwMDAiLCIwMCIsIjAwIiwiMDAiLCIwMCIsIjAiLCIwMCIsIjAwIiwiMCIsIjAwIiwiMDAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwi6auY5bqm5oCl5oCn5pyf5qmf6IO955eF5qOf77yQ77yYIiwiMCIsIjAiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAwMCIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiI="
"190610009","高度急性期機能病棟０９","","","20240601","99999999","0","IjAiLCJTIiwiMTkwNjEwMDA5IiwiMTEiLCLpq5jluqbmgKXmgKfmnJ/mqZ/og73nl4Xmo5/vvJDvvJkiLCIxNSIsIu+9uu+9s+++hO++nu+9t++9re+9s++9vu+9su+9t++9t+++ie+9szA5IiwiMCIsIjAiLCIiLCIzIiwiMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIjAiLCIwIiwiMyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCI5OTk5OTk5OSIsIjAiLCIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIxIiwiMSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIioiLCIiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiOTk5MTAwMDkwIiwiOSIsIjAyIiwiMDAxIiwiMDEiLCIwMDkiLCIwIiwiMDAiLCIwMDAiLCIwMCIsIjAwIiwiMDAiLCIwMCIsIjAiLCIwMCIsIjAwIiwiMCIsIjAwIiwiMDAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwi6auY5bqm5oCl5oCn5pyf5qmf6IO955eF5qOf77yQ77yZIiwiMCIsIjAiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAwMCIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiI="
"190610010","高度急性期機能病棟１０","","","20240601","99999999","0","IjAiLCJTIiwiMTkwNjEwMDEwIiwiMTEiLCLpq5jluqbmgKXmgKfmnJ/mqZ/og73nl4Xmo5/vvJHvvJAiLCIxNSIsIu+9uu+9s+++hO++nu+9t++9re+9s++9vu+9su+9t++9t+++ie+9szEwIiwiMCIsIjAiLCIiLCIzIiwiMC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIjAiLCIwIiwiMyIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCI5OTk5OTk5OSIsIjAiLCIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIxIiwiMSIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMSIsIioiLCIiLCIyMDI0MDYwMSIsIjk5OTk5OTk5IiwiOTk5MTAwMTAwIiwiOSIsIjAyIiwiMDAxIiwiMDEiLCIwMTAiLCIwIiwiMDAiLCIwMDAiLCIwMCIsIjAwIiwiMDAiLCIwMCIsIjAiLCIwMCIsIjAwIiwiMCIsIjAwIiwiMDAiLCIwIiwiMDAiLCIwMCIsIjAiLCIwIiwi6auY5bqm5oCl5oCn5pyf5qmf6IO955eF5qOf77yR77yQIiwiMCIsIjAiLCIwIiwiIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAwMCIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiIsIiI="
