"material_code","name","kana","category_large","category_middle","category_small","price","unit","valid_from","valid_to","change_type","maker","model","raw_record"
"700010000","半切","ﾊﾝｾﾂ","","","","120.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMDEwMDAwIiwiMiIsIuWNiuWIhyIsIjQiLCLvvorvvp3vvb7vvoIiLCI2IiwiMSIsIuaemiIsIjEiLCIxMjAuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiMTIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiIiwiOTgyMDAwIiwiMCIsIjIwMjQwNjAxIiwiMDAwMDAwMDAiLCI5OTk5OTk5OSIsIjMiLCIxIiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+WNiuWIhyIsIjAwMCI="
"700020000","半切（２分割）","ﾊﾝｾﾂ","","","","120.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMDIwMDAwIiwiNyIsIuWNiuWIh++8iO+8kuWIhuWJsu+8iSIsIjQiLCLvvorvvp3vvb7vvoIiLCI2IiwiMSIsIuaemiIsIjEiLCIxMjAuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiMTIwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiIiwiOTgzMDAwIiwiMCIsIjIwMjQwNjAxIiwiMDAwMDAwMDAiLCI5OTk5OTk5OSIsIjMiLCIxIiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+WNiuWIh++8iO+8kuWIhuWJsu+8iSIsIjAwMCI="
"700030000","大角","ﾀﾞｲｶｸ","","","","115.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMDMwMDAwIiwiMiIsIuWkp+inkiIsIjUiLCLvvoDvvp7vvbLvvbbvvbgiLCI2IiwiMSIsIuaemiIsIjEiLCIxMTUuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiMTE1LjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiIiwiOTg0MDAwIiwiMCIsIjIwMjQwNjAxIiwiMDAwMDAwMDAiLCI5OTk5OTk5OSIsIjMiLCIyIiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+Wkp+inkiIsIjAwMCI="
"700040000","大角（２分割）","ﾀﾞｲｶｸ","","","","115.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMDQwMDAwIiwiNyIsIuWkp+inku+8iO+8kuWIhuWJsu+8iSIsIjUiLCLvvoDvvp7vvbLvvbbvvbgiLCI2IiwiMSIsIuaemiIsIjEiLCIxMTUuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiMTE1LjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiIiwiOTg1MDAwIiwiMCIsIjIwMjQwNjAxIiwiMDAwMDAwMDAiLCI5OTk5OTk5OSIsIjMiLCIyIiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+Wkp+inku+8iO+8kuWIhuWJsu+8iSIsIjAwMCI="
"700050000","大四ツ切","ﾀﾞｲ4ﾂｷﾞﾘ","","","","76.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMDUwMDAwIiwiNCIsIuWkp+Wbm+ODhOWIhyIsIjgiLCLvvoDvvp7vvbI0776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNzYuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNzYuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5ODYwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjMiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75aSn5Zub44OE5YiHIiwiMDAwIg=="
"700060000","大四ツ切（２分割）","ﾀﾞｲ4ﾂｷﾞﾘ","","","","76.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMDYwMDAwIiwiOSIsIuWkp+Wbm+ODhOWIh++8iO+8kuWIhuWJsu+8iSIsIjgiLCLvvoDvvp7vvbI0776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNzYuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNzYuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5ODcwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjMiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75aSn5Zub44OE5YiH77yI77yS5YiG5Ymy77yJIiwiMDAwIg=="
"700070000","大四ツ切（４分割）","ﾀﾞｲ4ﾂｷﾞﾘ","","","","76.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMDcwMDAwIiwiOSIsIuWkp+Wbm+ODhOWIh++8iO+8lOWIhuWJsu+8iSIsIjgiLCLvvoDvvp7vvbI0776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNzYuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNzYuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5ODgwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjMiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75aSn5Zub44OE5YiH77yI77yU5YiG5Ymy77yJIiwiMDAwIg=="
"700080000","四ツ切","4ﾂｷﾞﾘ","","","","62.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMDgwMDAwIiwiMyIsIuWbm+ODhOWIhyIsIjUiLCI0776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNjIuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNjIuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5ODkwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjQiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75Zub44OE5YiHIiwiMDAwIg=="
"700090000","四ツ切（２分割）","4ﾂｷﾞﾘ","","","","62.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMDkwMDAwIiwiOCIsIuWbm+ODhOWIh++8iO+8kuWIhuWJsu+8iSIsIjUiLCI0776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNjIuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNjIuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5OTAwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjQiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75Zub44OE5YiH77yI77yS5YiG5Ymy77yJIiwiMDAwIg=="
"700100000","四ツ切（４分割）","4ﾂｷﾞﾘ","","","","62.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMTAwMDAwIiwiOCIsIuWbm+ODhOWIh++8iO+8lOWIhuWJsu+8iSIsIjUiLCI0776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNjIuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNjIuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5OTEwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjQiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75Zub44OE5YiH77yI77yU5YiG5Ymy77yJIiwiMDAwIg=="
"700110000","六ツ切","6ﾂｷﾞﾘ","","","","48.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMTEwMDAwIiwiMyIsIuWFreODhOWIhyIsIjUiLCI2776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNDguMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNDguMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5OTIwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjUiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75YWt44OE5YiHIiwiMDAwIg=="
"700120000","六ツ切（２分割）","6ﾂｷﾞﾘ","","","","48.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMTIwMDAwIiwiOCIsIuWFreODhOWIh++8iO+8kuWIhuWJsu+8iSIsIjUiLCI2776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNDguMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNDguMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5OTMwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjUiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75YWt44OE5YiH77yI77yS5YiG5Ymy77yJIiwiMDAwIg=="
"700130000","六ツ切（４分割）","6ﾂｷﾞﾘ","","","","48.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMTMwMDAwIiwiOCIsIuWFreODhOWIh++8iO+8lOWIhuWJsu+8iSIsIjUiLCI2776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNDguMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNDguMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5OTQwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjUiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75YWt44OE5YiH77yI77yU5YiG5Ymy77yJIiwiMDAwIg=="
"700140000","八ツ切","8ﾂｷﾞﾘ","","","","46.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMTQwMDAwIiwiMyIsIuWFq+ODhOWIhyIsIjUiLCI4776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNDYuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNDYuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5OTUwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjYiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75YWr44OE5YiHIiwiMDAwIg=="
"700150000","八ツ切（２分割）","8ﾂｷﾞﾘ","","","","46.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMTUwMDAwIiwiOCIsIuWFq+ODhOWIh++8iO+8kuWIhuWJsu+8iSIsIjUiLCI4776C7723776e776YIiwiNiIsIjEiLCLmnpoiLCIxIiwiNDYuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiNDYuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCI5OTYwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjYiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75YWr44OE5YiH77yI77yS5YiG5Ymy77yJIiwiMDAwIg=="
"700160000","カビネ","ｶﾋﾞﾈ","","","","38.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMTYwMDAwIiwiMyIsIuOCq+ODk+ODjSIsIjQiLCLvvbbvvovvvp7vvogiLCI2IiwiMSIsIuaemiIsIjEiLCIzOC4wMCIsIjAiLCIxIiwiMDAiLCIwMCIsIjEiLCIzOC4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIiIsIjk5NzAwMCIsIjAiLCIyMDI0MDYwMSIsIjAwMDAwMDAwIiwiOTk5OTk5OTkiLCIzIiwiNyIsIjAiLCIiLCIiLCIiLCLjg5XjgqPjg6vjg6Djg7vjgqvjg5Pjg40iLCIwMDAi"
"700180000","標準型（３×４）","ﾋｮｳｼﾞｭﾝｶﾞﾀ","","","","29.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMTgwMDAwIiwiOCIsIuaomea6luWei++8iO+8k8OX77yU77yJIiwiMTAiLCLvvovvva7vvbPvvbzvvp7vva3vvp3vvbbvvp7vvoAiLCI2IiwiMSIsIuaemiIsIjEiLCIyOS4wMCIsIjAiLCIxIiwiMDAiLCIwMCIsIjEiLCIyOS4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIiIsIjEwMDEwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjExIiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+aomea6luWei++8iO+8k++9g++9jcOX77yU772D772N77yJIiwiMDAwIg=="
"700190000","咬合型（５．７×７．６、５．５×７．５又は５．４×７）","ｺｳｺﾞｳｶﾞﾀ","","","","27.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMTkwMDAwIiwiMjciLCLlkqzlkIjlnovvvIjvvJXvvI7vvJfDl++8l++8ju+8luOAge+8le+8ju+8lcOX77yX77yO77yV5Y+I44Gv77yV77yO77yUw5fvvJfvvIkiLCI4Iiwi7726772z7726776e772z7722776e776AIiwiNiIsIjEiLCLmnpoiLCIxIiwiMjcuMDAiLCIwIiwiMSIsIjAwIiwiMDAiLCIxIiwiMjcuMDAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIiLCIxMDAyMDAwIiwiMCIsIjIwMjQwNjAxIiwiMDAwMDAwMDAiLCI5OTk5OTk5OSIsIjMiLCIxMiIsIjAiLCIiLCIiLCIiLCLjg5XjgqPjg6vjg6Djg7vlkqzlkIjlnovvvIjvvJXvvI7vvJfvvYPvvY3Dl++8l++8ju+8lu+9g++9jeOAge+8le+8ju+8le+9g++9jcOX77yX77yO77yV772D772N5Y+I44Gv77yV77yO77yU772D772Nw5fvvJfvvYPvvY3vvIkiLCIwMDAi"
"700200000","咬翼型（４．１×３又は２．１×３．５）","ｺｳﾖｸｶﾞﾀ","","","","40.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMjAwMDAwIiwiMTkiLCLlkqznv7zlnovvvIjvvJTvvI7vvJHDl++8k+WPiOOBr++8ku+8ju+8kcOX77yT77yO77yV77yJIiwiNyIsIu+9uu+9s+++lu+9uO+9tu++nu++gCIsIjYiLCIxIiwi5p6aIiwiMSIsIjQwLjAwIiwiMCIsIjEiLCIwMCIsIjAwIiwiMSIsIjQwLjAwIiwiMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiIiwiMTAwMzAwMCIsIjAiLCIyMDI0MDYwMSIsIjAwMDAwMDAwIiwiOTk5OTk5OTkiLCIzIiwiMTMiLCIwIiwiIiwiIiwiIiwi44OV44Kj44Or44Og44O75ZKs57+85Z6L77yI77yU77yO77yR772D772Nw5fvvJPvvYPvvY3lj4jjga/vvJLvvI7vvJHvvYPvvY3Dl++8k++8ju+8le+9g++9je+8iSIsIjAwMCI="
"700210000","オルソパントモ型（２０．３×３０．５）","ｵﾙｿﾊﾟﾝﾄﾓｶﾞﾀ","","","","103.00","","20240601","99999999","0","","","IjAiLCJUIiwiNzAwMjEwMDAwIiwiMTkiLCLjgqrjg6vjgr3jg5Hjg7Pjg4jjg6LlnovvvIjvvJLvvJDvvI7vvJPDl++8k++8kO+8ju+8le+8iSIsIjExIiwi7721776Z772/776K776f776d776E776T7722776e776AIiwiNiIsIjEiLCLmnpoiLCIxIiwiMTAzLjAwIiwiMCIsIjEiLCIwMCIsIjAwIiwiMSIsIjEwMy4wMCIsIjAiLCIwIiwiMCIsIjAiLCIwIiwiMCIsIiIsIjEwMDQwMDAiLCIwIiwiMjAyNDA2MDEiLCIwMDAwMDAwMCIsIjk5OTk5OTk5IiwiMyIsIjE0IiwiMCIsIiIsIiIsIiIsIuODleOCo+ODq+ODoOODu+OCquODq+OCveODkeODs+ODiOODouWei+ODu++8ku+8kO+8ju+8k++9g++9jcOX77yT77yQ77yO77yV772D772NIiwiMDAwIg=="
