"drug_code","name","kana","unit","price","form","manufacturer","valid_from"
"610406079","7","ガスター散２％","33","1","ｶﾞｽﾀｰｻﾝ2%","ｇ","Y"
"610406193","4","テンマ末","33","1","ﾃﾝﾏﾏﾂ","ｇ","Y"
"610406227","8","花扇加工ブシ末Ｋ","33","1","ﾊﾅｵｳｷﾞｶｺｳﾌﾞｼﾏﾂK","ｇ","Y"
"610406231","13","バリトゲンＨＤ　９８．６％","33","1","ﾊﾞﾘﾄｹﾞﾝHD","ｇ","Y"
"610406232","11","バリトップＨＤ　９９％","33","1","ﾊﾞﾘﾄｯﾌﾟHD","ｇ","Y"
"610406378","11","ＭＳコンチン錠６０ｍｇ","16","1","MSｺﾝﾁﾝｼﾞｮｳ60MG","錠","Y"
"610406382","16","オステラック錠１００　１００ｍｇ","16","1","ｵｽﾃﾗｯｸｼﾞｮｳ100","錠","Y"
"610406383","16","オステラック錠２００　２００ｍｇ","16","1","ｵｽﾃﾗｯｸｼﾞｮｳ200","錠","Y"
"610406385","16","セロシオンカプセル１０　１０ｍｇ","15","4","ｾﾛｼｵﾝｶﾌﾟｾﾙ10","カプセル","Y"
"610406386","11","ゾビラックス顆粒４０％","33","1","ｿﾞﾋﾞﾗｯｸｽｶﾘｭｳ40%","ｇ","Y"
"610406387","10","ハイペン錠１００ｍｇ","16","1","ﾊｲﾍﾟﾝｼﾞｮｳ100MG","錠","Y"
"610406388","10","ハイペン錠２００ｍｇ","16","1","ﾊｲﾍﾟﾝｼﾞｮｳ200MG","錠","Y"
"610406389","10","プロマック顆粒１５％","33","1","ﾌﾟﾛﾏｯｸｶﾘｭｳ15%","ｇ","Y"
"610406390","14","ベイスン錠０．２　０．２ｍｇ","16","1","ﾍﾞｲｽﾝｼﾞｮｳ0.2","錠","Y"
"610406391","14","ベイスン錠０．３　０．３ｍｇ","16","1","ﾍﾞｲｽﾝｼﾞｮｳ0.3","錠","Y"
"610406392","11","ペルマックス錠５０μｇ","16","1","ﾍﾟﾙﾏｯｸｽｼﾞｮｳ50ﾏｲｸﾛG","錠","Y"
"610406393","12","ペルマックス錠２５０μｇ","16","1","ﾍﾟﾙﾏｯｸｽｼﾞｮｳ250ﾏｲｸﾛG","錠","Y"
"610406394","18","メタライト２５０カプセル　２５０ｍｇ","15","4","ﾒﾀﾗｲﾄ250ｶﾌﾟｾﾙ","カプセル","Y"
"610406398","13","ピメノールカプセル５０ｍｇ","15","4","ﾋﾟﾒﾉｰﾙｶﾌﾟｾﾙ50MG","カプセル","Y"
"610406399","14","ピメノールカプセル１００ｍｇ","15","4","ﾋﾟﾒﾉｰﾙｶﾌﾟｾﾙ100MG","カプセル","Y"
"610406401","10","アレギサール錠５ｍｇ","16","1","ｱﾚｷﾞｻｰﾙｼﾞｮｳ5MG","錠","Y"
"610406402","15","インフリーＳカプセル２００ｍｇ","15","4","ｲﾝﾌﾘｰSｶﾌﾟｾﾙ200MG","カプセル","Y"
"610406406","10","ペミラストン錠５ｍｇ","16","1","ﾍﾟﾐﾗｽﾄﾝｼﾞｮｳ5MG","錠","Y"
"610406407","14","ユニコン錠２００　２００ｍｇ","16","1","ﾕﾆｺﾝｼﾞｮｳ200","錠","Y"
"610406408","14","ユニコン錠４００　４００ｍｇ","16","1","ﾕﾆｺﾝｼﾞｮｳ400","錠","Y"
"610407001","17","アイピーディカプセル５０　５０ｍｇ","15","4","ｱｲﾋﾟｰﾃﾞｨｶﾌﾟｾﾙ50","カプセル","Y"
"610407002","19","アイピーディカプセル１００　１００ｍｇ","15","4","ｱｲﾋﾟｰﾃﾞｨｶﾌﾟｾﾙ100","カプセル","Y"
"610407003","13","スプレンジール錠２．５ｍｇ","16","1","ｽﾌﾟﾚﾝｼﾞｰﾙｼﾞｮｳ2.5MG","錠","Y"
"610407004","11","スプレンジール錠５ｍｇ","16","1","ｽﾌﾟﾚﾝｼﾞｰﾙｼﾞｮｳ5MG","錠","Y"
"610407005","11","デタントールＲ錠３ｍｇ","16","1","ﾃﾞﾀﾝﾄｰﾙRｼﾞｮｳ3MG","錠","Y"
"610407006","11","デタントールＲ錠６ｍｇ","16","1","ﾃﾞﾀﾝﾄｰﾙRｼﾞｮｳ6MG","錠","Y"
"610407019","12","カルバン錠２５　２５ｍｇ","16","1","ｶﾙﾊﾞﾝｼﾞｮｳ25","錠","Y"
"610407020","12","カルバン錠５０　５０ｍｇ","16","1","ｶﾙﾊﾞﾝｼﾞｮｳ50","錠","Y"
"610407021","14","カルバン錠１００　１００ｍｇ","16","1","ｶﾙﾊﾞﾝｼﾞｮｳ100","錠","Y"
"610407022","14","フェアストン錠４０　４０ｍｇ","16","1","ﾌｪｱｽﾄﾝｼﾞｮｳ40","錠","Y"
"610407025","7","エンシュア・Ｈ","36","2","ｴﾝｼｭｱH","ｍＬ","Y"
"610407028","13","ベザトールＳＲ錠１００ｍｇ","16","1","ﾍﾞｻﾞﾄｰﾙSRｼﾞｮｳ100MG","錠","Y"
"610407112","7","本草加工ブシ末","33","1","ﾎﾝｿﾞｳｶｺｳﾌﾞｼﾏﾂ","ｇ","Y"
"610407122","16","メチルテストステロン錠　１０ｍｇ","16","1","ﾒﾁﾙﾃｽﾄｽﾃﾛﾝｼﾞｮｳ","錠","Y"
"610407139","9","カイトリル錠１ｍｇ","16","1","ｶｲﾄﾘﾙｼﾞｮｳ1MG","錠","Y"
"610407140","9","ガナトン錠５０ｍｇ","16","1","ｶﾞﾅﾄﾝｼﾞｮｳ50MG","錠","Y"
"610407141","12","グラケーカプセル１５ｍｇ","15","4","ｸﾞﾗｹｰｶﾌﾟｾﾙ15MG","カプセル","Y"
"610407147","11","アテレック錠５　５ｍｇ","16","1","ｱﾃﾚｯｸｼﾞｮｳ5","錠","Y"
"610407148","13","アテレック錠１０　１０ｍｇ","16","1","ｱﾃﾚｯｸｼﾞｮｳ10","錠","Y"
"610407158","10","バレオン錠２００ｍｇ","16","1","ﾊﾞﾚｵﾝｼﾞｮｳ200MG","錠","Y"
"610407332","9","トチモトのトチュウ","33","1","ﾄﾁﾓﾄﾉﾄﾁｭｳ","ｇ","Y"
"610407333","12","トチモトのバクガ（麦芽）","33","1","ﾄﾁﾓﾄﾉﾊﾞｸｶﾞﾊﾞｸｶﾞ","ｇ","Y"
"610407429","11","ボンゾール錠１００ｍｇ","16","1","ﾎﾞﾝｿﾞｰﾙｼﾞｮｳ100MG","錠","Y"
"610407430","11","ボンゾール錠２００ｍｇ","16","1","ﾎﾞﾝｿﾞｰﾙｼﾞｮｳ200MG","錠","Y"
"610407447","11","ムコダイン錠５００ｍｇ","16","1","ﾑｺﾀﾞｲﾝｼﾞｮｳ500MG","錠","Y"
"610408002","15","ｌ－メントール「コザカイ・Ｍ」","33","1","L-ﾒﾝﾄｰﾙｺｻﾞｶｲM","ｇ","Y"
"610408026","11","ウチダのアセンヤク末Ｍ","33","1","ｳﾁﾀﾞﾉｱｾﾝﾔｸﾏﾂM","ｇ","Y"
"610408027","9","ウチダのアマチャＭ","33","1","ｳﾁﾀﾞﾉｱﾏﾁｬM","ｇ","Y"
"610408028","10","ウチダのアマチャ末Ｍ","33","1","ｳﾁﾀﾞﾉｱﾏﾁｬﾏﾂM","ｇ","Y"
"610408029","9","ウチダのアロエ末Ｍ","33","1","ｳﾁﾀﾞﾉｱﾛｴﾏﾂM","ｇ","Y"
"610408030","10","ウチダのウイキョウＭ","33","1","ｳﾁﾀﾞﾉｳｲｷｮｳM","ｇ","Y"
"610408031","10","ウチダのウワウルシＭ","33","1","ｳﾁﾀﾞﾉｳﾜｳﾙｼM","ｇ","Y"
"610408032","9","ウチダのエイジツＭ","33","1","ｳﾁﾀﾞﾉｴｲｼﾞﾂM","ｇ","Y"
"610408033","10","ウチダのエイジツ末Ｍ","33","1","ｳﾁﾀﾞﾉｴｲｼﾞﾂﾏﾂM","ｇ","Y"
"610408034","10","ウチダのエンゴサクＭ","33","1","ｳﾁﾀﾞﾉｴﾝｺﾞｻｸM","ｇ","Y"
"610408035","9","ウチダのオウレンＭ","33","1","ｳﾁﾀﾞﾉｵｳﾚﾝM","ｇ","Y"
"610408036","10","ウチダのオウレン末Ｍ","33","1","ｳﾁﾀﾞﾉｵｳﾚﾝﾏﾂM","ｇ","Y"
"610408037","8","ウチダのオウギＭ","33","1","ｳﾁﾀﾞﾉｵｳｷﾞM","ｇ","Y"
"610408038","9","ウチダのオウゴンＭ","33","1","ｳﾁﾀﾞﾉｵｳｺﾞﾝM","ｇ","Y"
"610408039","10","ウチダのオウゴン末Ｍ","33","1","ｳﾁﾀﾞﾉｵｳｺﾞﾝﾏﾂM","ｇ","Y"
"610408040","9","ウチダのオウバクＭ","33","1","ｳﾁﾀﾞﾉｵｳﾊﾞｸM","ｇ","Y"
"610408041","10","ウチダのオウバク末Ｍ","33","1","ｳﾁﾀﾞﾉｵｳﾊﾞｸﾏﾂM","ｇ","Y"
"610408042","8","ウチダのオンジＭ","33","1","ｳﾁﾀﾞﾉｵﾝｼﾞM","ｇ","Y"
"610408043","9","ウチダのオンジ末Ｍ","33","1","ｳﾁﾀﾞﾉｵﾝｼﾞﾏﾂM","ｇ","Y"
"610408044","9","ウチダのカッコンＭ","33","1","ｳﾁﾀﾞﾉｶｯｺﾝM","ｇ","Y"
"610408045","10","ウチダのカノコソウＭ","33","1","ｳﾁﾀﾞﾉｶﾉｺｿｳM","ｇ","Y"
"610408046","11","ウチダのカノコソウ末Ｍ","33","1","ｳﾁﾀﾞﾉｶﾉｺｿｳﾏﾂM","ｇ","Y"
"610408047","9","ウチダのカロコンＭ","33","1","ｳﾁﾀﾞﾉｶﾛｺﾝM","ｇ","Y"
"610408048","9","ウチダのカンゾウＭ","33","1","ｳﾁﾀﾞﾉｶﾝｿﾞｳM","ｇ","Y"
"610408050","10","ウチダのカンゾウ末Ｍ","33","1","ｳﾁﾀﾞﾉｶﾝｿﾞｳﾏﾂM","ｇ","Y"
"610408051","9","ウチダのカゴソウＭ","33","1","ｳﾁﾀﾞﾉｶｺﾞｿｳM","ｇ","Y"
"610408052","10","ウチダのキョウニンＭ","33","1","ｳﾁﾀﾞﾉｷｮｳﾆﾝM","ｇ","Y"
"610408053","9","ウチダのキキョウＭ","33","1","ｳﾁﾀﾞﾉｷｷｮｳM","ｇ","Y"
"610408054","10","ウチダのキキョウ末Ｍ","33","1","ｳﾁﾀﾞﾉｷｷｮｳﾏﾂM","ｇ","Y"
"610408055","9","ウチダのキササゲＭ","33","1","ｳﾁﾀﾞﾉｷｻｻｹﾞM","ｇ","Y"
"610408056","8","ウチダのキジツＭ","33","1","ｳﾁﾀﾞﾉｷｼﾞﾂM","ｇ","Y"
"610408057","8","ウチダのクジンＭ","33","1","ｳﾁﾀﾞﾉｸｼﾞﾝM","ｇ","Y"
"610408058","9","ウチダのクジン末Ｍ","33","1","ｳﾁﾀﾞﾉｸｼﾞﾝﾏﾂM","ｇ","Y"
"610408059","8","ウチダのケイヒＭ","33","1","ｳﾁﾀﾞﾉｹｲﾋM","ｇ","Y"
"610408060","9","ウチダのケイヒ末Ｍ","33","1","ｳﾁﾀﾞﾉｹｲﾋﾏﾂM","ｇ","Y"
"610408061","9","ウチダのケイガイＭ","33","1","ｳﾁﾀﾞﾉｹｲｶﾞｲM","ｇ","Y"
"610408062","10","ウチダのケツメイシＭ","33","1","ｳﾁﾀﾞﾉｹﾂﾒｲｼM","ｇ","Y"
"610408063","9","ウチダのケンゴシＭ","33","1","ｳﾁﾀﾞﾉｹﾝｺﾞｼM","ｇ","Y"
"610408064","8","ウチダのコウカＭ","33","1","ｳﾁﾀﾞﾉｺｳｶM","ｇ","Y"
"610408065","9","ウチダのコウジンＭ","33","1","ｳﾁﾀﾞﾉｺｳｼﾞﾝM","ｇ","Y"
"610408066","9","ウチダのコウブシＭ","33","1","ｳﾁﾀﾞﾉｺｳﾌﾞｼM","ｇ","Y"
"610408067","10","ウチダのコウブシ末Ｍ","33","1","ｳﾁﾀﾞﾉｺｳﾌﾞｼﾏﾂM","ｇ","Y"
