"modifier_code","name","kana","category","valid_from","valid_to","change_type","raw_record"
"","・高分化型","・コウブンカガタ","0","","27002379","0","IjAiLCJaIiwiODI4MiIsIiIsIiIsIjUiLCLjg7vpq5jliIbljJblnosiLCIiLCI4Iiwi44O744Kz44Km44OW44Oz44Kr44Ks44K/IiwiIiwiMCIsIjAiLCIyMDI0MDYwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIzNzkiLCI1QUgxIiwiQTgwMDAwMDAi"
"","・多形型","・タケイガタ","0","","27002380","0","IjAiLCJaIiwiODI4MyIsIiIsIiIsIjQiLCLjg7vlpJrlvaLlnosiLCIiLCI2Iiwi44O744K/44Kx44Kk44Ks44K/IiwiIiwiMCIsIjAiLCIyMDI0MDYwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIzODAiLCI0OFU3IiwiQTgwMDAwMDAi"
"","・脱分化型","・ダツブンカガタ","0","","27002381","0","IjAiLCJaIiwiODI4NCIsIiIsIiIsIjUiLCLjg7vohLHliIbljJblnosiLCIiLCI4Iiwi44O744OA44OE44OW44Oz44Kr44Ks44K/IiwiIiwiMCIsIjAiLCIyMDI0MDYwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIzODEiLCIyNlQzIiwiQTgwMDAwMDAi"
"","・中分化型","・チュウブンカガタ","0","","27002382","0","IjAiLCJaIiwiODI4NSIsIiIsIiIsIjUiLCLjg7vkuK3liIbljJblnosiLCIiLCI5Iiwi44O744OB44Ol44Km44OW44Oz44Kr44Ks44K/IiwiIiwiMCIsIjAiLCIyMDI0MDYwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIzODIiLCIyN01RIiwiQTgwMDAwMDAi"
"","・低分化型","・テイブンカガタ","0","","27002383","0","IjAiLCJaIiwiODI4NiIsIiIsIiIsIjUiLCLjg7vkvY7liIbljJblnosiLCIiLCI4Iiwi44O744OG44Kk44OW44Oz44Kr44Ks44K/IiwiIiwiMCIsIjAiLCIyMDI0MDYwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIzODMiLCI2UU04IiwiQTgwMDAwMDAi"
"","・粘液型","・ネンエキガタ","0","","27002384","0","IjAiLCJaIiwiODI4NyIsIiIsIiIsIjQiLCLjg7vnspjmtrLlnosiLCIiLCI3Iiwi44O744ON44Oz44Ko44Kt44Ks44K/IiwiIiwiMCIsIjAiLCIyMDI0MDYwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIzODQiLCI1N1VEIiwiQTgwMDAwMDAi"
"","・粘液多形型","・ネンエキタケイガタ","0","","27002385","0","IjAiLCJaIiwiODI4OCIsIiIsIiIsIjYiLCLjg7vnspjmtrLlpJrlvaLlnosiLCIiLCIxMCIsIuODu+ODjeODs+OCqOOCreOCv+OCseOCpOOCrOOCvyIsIiIsIjAiLCIwIiwiMjAyNDA2MDEiLCIiLCI5OTk5OTk5OSIsIjI3MDAyMzg1IiwiNUszSiIsIkE4MDAwMDAwIg=="
"","０期","０キ","0","","27001857","0","IjAiLCJaIiwiODA3MCIsIiIsIiIsIjIiLCLvvJDmnJ8iLCIiLCIyIiwi77yQ44KtIiwiIiwiMCIsIjAiLCIyMDA2MTAwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE4NTciLCI3NTcyIiwiQTgwMDAwMDAi"
"","・１０カ月","１０カゲツ","0","","27001938","0","IjAiLCJaIiwiODEzMyIsIiIsIiIsIjUiLCLjg7vvvJHvvJDjgqvmnIgiLCIiLCI1Iiwi77yR77yQ44Kr44Ky44OEIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MzgiLCI4MUtFIiwiQTgwMDAwMDAi"
"","１０型","１０ガタ","0","","27002118","0","IjAiLCJaIiwiODE1NiIsIiIsIiIsIjMiLCLvvJHvvJDlnosiLCIiLCI0Iiwi77yR77yQ44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMTgiLCIzVE1GIiwiQTgwMDAwMDAi"
"","１０週","１０シュウ","0","","27000040","0","IjAiLCJaIiwiNzA4MiIsIiIsIiIsIjMiLCLvvJHvvJDpgLEiLCIiLCI1Iiwi77yR77yQ44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNDAiLCI1MzMwIiwiQTcwMDAwMDAi"
"","・１０週","１０シュウ","0","","27001893","0","IjAiLCJaIiwiODA4OCIsIiIsIiIsIjQiLCLjg7vvvJHvvJDpgLEiLCIiLCI1Iiwi77yR77yQ44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE4OTMiLCIzTk5WIiwiQTgwMDAwMDAi"
"","・１１カ月","１１カゲツ","0","","27001939","0","IjAiLCJaIiwiODEzNCIsIiIsIiIsIjUiLCLjg7vvvJHvvJHjgqvmnIgiLCIiLCI1Iiwi77yR77yR44Kr44Ky44OEIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE5MzkiLCI1MVFNIiwiQTgwMDAwMDAi"
"","１１型","１１ガタ","0","","27002119","0","IjAiLCJaIiwiODE1NyIsIiIsIiIsIjMiLCLvvJHvvJHlnosiLCIiLCI0Iiwi77yR77yR44Ks44K/IiwiIiwiMCIsIjAiLCIyMDE1MDMwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDIxMTkiLCIwVlVNIiwiQTgwMDAwMDAi"
"","１１週","１１シュウ","0","","27000041","0","IjAiLCJaIiwiNzA4MyIsIiIsIiIsIjMiLCLvvJHvvJHpgLEiLCIiLCI1Iiwi77yR77yR44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDAzMDQwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDAwNDEiLCI1MzMxIiwiQTcwMDAwMDAi"
"","・１１週","１１シュウ","0","","27001894","0","IjAiLCJaIiwiODA4OSIsIiIsIiIsIjQiLCLjg7vvvJHvvJHpgLEiLCIiLCI1Iiwi77yR77yR44K344Ol44KmIiwiIiwiMCIsIjAiLCIyMDA4MDEwMSIsIiIsIjk5OTk5OTk5IiwiMjcwMDE4OTQiLCIwRDRKIiwiQTgwMDAwMDAi"
